# id	file_path	transparent_color_r	g	b
[TEXTURES]
1	textures\Jason-and-Sophia.png	0	57	115
2	textures\BlasterMaster-Enemies.png	255	0	255
33	textures\NES-Blaster-Master-Area-2.png	255	255	255
44	textures\NES-Blaster-Master-Area-2-Overworld1.png	255	255	255
55	textures\sophia.png	255	255	255
66	textures\Items-Objects.png	255	255	255
# id	left	top	right	bottom	texture_id
[SPRITES]
# tiled map sprites
10011	233	36	257	68	1
10012	258	36	282	68	1
# move down
10013	208	3	232	35	1
10014	233	3	257	35	1
10015	258	3	282	35	1
# SOFIA left Wheel 
20001	3	21	10	28	1
20002	12	21	19	28	1
20003	21	21	28	28	1
20004	30	21	37	28	1
# SOFIA right Wheel 
200003	21	21	28	28	1
200004	30	21	37	28	1
200001	3	21	10	28	1
200002	12	21	19	28	1
# SOFIA Vehicle
# nằm ngang, đóng nắp cabin
300001	72	24	98	40	55
# xoay
300002	116	24	134	40	55
# mở nắp cabin
300003	30	16	56	40	55
# đưa nóng súng lên 1
300004	30	58	55	82	55
# đưa nòng súng lên 2
300005	114	59	138	81	55
# đưa nòng súng lên 3
300006	71	56	92	82	55
# Main character empty sprite
70001	0	0	0	0	1
# Main character explosion
70002	159	3	207	43	1
70003	143	44	207	132	1
#Destroyable-brick
80000	96	160	112	176	33
# WORM
#move left 
110001	46	412	62	421	2
110002	62	412	81	421	2
#move right
110003	172	412	189	421	2
110004	191	412	207	421	2
# FLOATER-SPIDER
#move left 
120001	84	407	101	421	2
120002	104	406	121	421	2
#move right
120003	132	406	149	421	2
120004	152	407	169	421	2
# DOMES
#move left
140001	87	425	105	441	2
140002	67	424	85	441	2
#move right
140003	149	425	167	441	2
140004	169	424	187	441	2
#di chuyen ngang ben trai
140005	51	441	67	459	2
140006	50	461	67	479	2
#nam ngua
140007	67	479	85	495	2
140008	87	479	105	496	2
# JUMPERS
#move left
150001	105	500	122	525	2
150002	87	499	102	525	2
150003	69	500	84	525	2
#move right
150004	132	500	149	525	2
150005	152	499	167	525	2
150006	170	500	185	525	2
# INSECT
#move left
160001	104	530	122	548	2
160002	84	533	102	548	2
#move right
160003	132	530	150	548	2
160004	152	533	170	548	2
# ORBS
#move left
170001	98	387	116	405	2
170002	78	387	96	405	2
#move right
170003	138	387	156	405	2
170004	158	387	176	405	2
# SKULLS
#walk left
180001	42	530	60	548	2
#walk right
180002	194	530	212	548	2
#walk left attack
180003	62	527	80	548	2
#walk right attack
180003	174	527	192	548	2
# WEAPON
# Main character
# fly_horizontal
100001	91	20	114	27	1
# fly_vertical
100002	116	20	123	43	1
# explode
100003	140	101	148	109	1
100004	149	97	165	113	1
100005	166	97	182	113	1
100006	183	93	207	117	1
# bullet Rocket
# right rocket
100100	5	35	20	41	55
# left rocket
100101	2	20	17	26	55
# up rocket
100102	109	8	115	23	55
# down rocket
100103	98	8	104	23	55
# Human-Sofia
# bullet
100007	135	183	139	187	55
# bullet_explosion
100008	155	181	162	189	55
100009	171	178	187	191	55
100010	192	177	208	193	55
# Cannon
# bullet
100011	252	102	260	118	1
# bullet_explosion
100012	296	102	312	118	1
# Eyeball
# bullet
100013	252	102	260	118	1
# bullet_explosion
100014	296	102	312	118	1
# Floater
# bullet
100015	252	102	260	118	1
# bullet_explosion
100016	296	102	312	118	1
#Skull
#bullet_left
100017	193	515	103	525	2
#bullet_right
100018	51	515	61	525	2
#bullet_explosion
100019	166	97	182	113	1
# HUB OBJECTS
# PowerHub - Text
800001	175	219	183	235	55
# PowerHub
800002	85	97	93	129	55
800005	95	97	103	129	55
800006	110	97	118	129	55
800007	120	97	128	129	55
800008	130	98	138	130	55
800009	141	98	149	130	55
800010	152	98	160	130	55
800011	27	96	35	128	55
800012	242	101	250	133	55
# GunHub
800003	154	221	162	253	55
# Hov-Text
800004	112	240	120	256	55
# ITEMS
# P
900000	87	240	103	256	55
# path
[MAP]
Map-Blaster-Master-Area-2-B.txt
# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]
# ==== SOFIA HUMAN =========
#idle
600	10001	100
#move left
601	10002	100	10003	100	10004	100
#crawl left
602	10005	100	10006	100
#climb
606	10016	100	10017	100
# BIG-SOFIA
# move left
603	10007	100	10008	100	10009	100
# move up
604	10010	100	10011	100	10012	100
# move down
605	10013	100	10014	100	10015	100
# ==== SOFIA WHEEL =========
#idle-of left-wheel
700	20002	100
#left-wheel
701	20001	100	20002	100	20003	100	20004	100
#right-wheel
702	200003	100	200004	100	200001	100	200002	100
# ==== SOFIA VEHICLE =========
# di chuyển ngang bình thường
800	300001	100
# xoay ngang
801	300001	200	300002	200
# mở nắp cabin
802	300003	100
# đưa nòng súng lên
803	300004	100	300005	100	300006	100
# ==== MAIN CHARACTER =========
#idle
2000	70001	100
#explosion
2001	70002	200
#Destroyable-brick
3000	80000	100
# === ENEMY DOMES ===
#walk left
8000	140001	100	140002	100
#walk right
8001	140003	100	140004	100
#di chuyen ngang ben trai
8002	140005	100	140006	100
#nam ngua
8003	140007	100	140008	100
# ==== ENEMY WORM =========
#Walk left
5000	110001	100	110002	100
#Walk right
5001	110003	100	110004	100
# ==== ENEMY FLOATER-SPIDER =========
#Walk left
6000	120001	100	120002	100
#Walk right
6001	120003	100	120004	100
# === JUMPERS ======
#walk left
9000	150001	100	150002	100	150003	100
#walk right
9001	150004	100	150005	100	150006	100
# === INSECT =====
#walk left
10000	160001	100	160002	100
#walk right
10001	160003	100	160004	100
# === ORBS ====
#walk left
11000	170001	100	170002	100
#walk right
11001	170003	100	170004	100
#=== SKULLS ====
#walk left
12000	180001	100
#walk right
120001	180002	100
#walk left attack
120003	180003	100
#walk right attack
120004	180004	100
# id	ani1	ani2	ani3
# ==== WEAPON =========
# Main Character
# left
4000	100001	100
# Up
4001	100002	100
# explode
4002	100003	100	100004	100	100005	100
# Bullet Rocket
# right rocket
4100	100100	100
# left rocket
4101	100101	100
# up rocket
4102	100102	100
# down rocket
4103	100103	100
# Human-Sofia
# Bullet
4003	100007	100
# Bullet_explosion
4004	100008	100	100009	100	100010	100
# Cannon
# Bullet
4005	100011	100
# Bullet_explosion
4006	100012	100
# Eyeball
# Bullet
4007	100013	100
# Bullet_explosion
4008	100014	100
# Floater
# Bullet
4009	100015	100
# Bullet_explosion
4010	100016	100
# Skull 
# Bullet left
4011	100017	100
# Bullet right
4012	100018	100
#Bullet explosion
4013	100019	100
# ==== HUB =========
# PowerHub - Text
100000	800001	100
# PowerHub
100001	800002	100
100004	800005	100
100005	800006	100
100006	800007	100
100007	800008	100
100008	800009	100
100009	800010	100
100010	800011	100
100011	800012	100
# GunHub
100002	800003	100
# Hov - text
100003	800004	100
# ITEMS
# P
900000	900000	100
[ANIMATION_SETS]
# SOFIA 
1	600	601	602	603	604	605	606
# MAIN_CHARACTER 
2	2000	2001
# WHEEL 
3	700	701	702
# SOFIA VEHICLE
4	800	801	802	803
#Destroyable-brick
5	3000
# WORM - ENEMY
8	5000	5001
# FLOATER-SPIDER - ENEMY
9	6000	6001
# DOMES
11	8000	8001	8002	8003
# JUMPERS
12	9000	9001
# INSECT
13	10000	10001
# ORBS
14	11000	11001
# SKULLS
15	12000	12001	12002	12003
# DASHERS
16	13000	13001
# WEAPON Player-horizontal Player-vertical Player-explode Big human-bullet Big human-explosion Cannon-bullet Cannon-explosion Eyeball-bullet Eyeball-explosion	Floater-bullet	Floater-explosion	Skull bullet left	Skull bullet right	Skull bullet explosion	Player-Rocket-right	Player-Rocket-left	Player-Rocket-up	Player-Rocket-down
7	4000	4001	4002	4003	4004	4005	4006	4007	4008	4009	4010	4011	4012	4013	4100	4101	4102	4103
# HUB
100	100000	100001	100002	100003	100004	100005	100006	100007	100008	100009	100010	100011
# ITEMS
# P
200	900000
[OBJECTS]
# object_id  type	x	y	ani_set_id	extra_settings per object type
# type: 0 = Mario , 1 = Brick, 2 = Enemy1, 3 = Worm, 4 = Wheel_Left, 5 = Wheel_Middle, 6 = Wheel_right, 7= Cabin, 8= Barrel, 9= Main character, 10= Spider, 11=Human
# type: 12 = Floater, 13 = Domes, 14 = Jumpers, 15 = Insect,16 = Orbs, 17 = Skulls, 18 = Dashers, 500 = PowerHub, 501 = GunHub
# MAIN_CHARACTER need to be created first!
1	9	79	150	2
# MAIN OBJECTS LIST
# WHEEL_LEFT
3	4	18	132	3
# WHEEL_RIGHT
4	6	32	132	3
# SOFIA VEHICLE
5	7	25	118	4
# HUMAN
2	11	17	115	1
# HUB LIST - x,y theo trục màn hình
9	500	10	100	100
# ENEMY LIST
# WORM
10	3	50	1180	8
11	3	280	1180	8
# FLOATERS
13	12	104	145	9	1
14	12	136	180	9	1
15	12	136	108	9	1
# DOMES
16	13	308	108	11
17	13	161	1196	11
18	13	222	1196	11
19	13	328	1196	11
# JUMPERS
20	14	58	350	12
# INSECT
21	15	300	545	13
22	15	300	682	13
23	15	320	802	13
# ORBS
24	16	232	816	14
25	16	201	946	14
26	16	73	944	14
# MAP OBJECT LIST
# BRICK 
# object_id 	type	l	t	ani_set_id	r	b	
52	1	2	1216	2	31	17
53	1	33	95	2	156	65
54	1	33	158	2	93	129
55	1	226	94.5	2	478	65
57	1	33	31	2	478	7
58	1	322	190	2	349	113
59	1	97	223	2	413	192
60	1	31	288	2	161	272
61	1	33	280	2	109	256
62	1	145	272	2	161	257
65	1	256	321	2	288	239
66	1	160	350	2	413	319
68	1	31	417	2	221	382
69	1	32	545	2	94	510
70	1	96	480	2	159	445
71	1	319	449	2	353	367
72	1	224	480	2	416	447
73	1	255	577	2	288	497
74	1	96	608	2	414	572
75	1	33	738	2	223	701
76	1	32	800	2	97	766
77	1	97	865	2	351	830
78	1	289	736	2	415	703
79	1	353	929	2	417	896
80	1	31	991	2	351	958
82	1	97	1055	2	480	1038
83	1	207	1039	2	240	1023
84	1	273	1039	2	304	1023
85	1	336	1040	2	479	1023
86	1	32	1119	2	159	1088
87	1	96	1184	2	349	1151
88	1	256	1151	2	287	1072
89	1	1	1245	2	109	1216
90	1	143	1233	2	175	1215
91	1	206	1230	2	237	1214
92	1	273	1234	2	482	1215
93	1	479	1218	2	511	17
94	1	417	1185	2	480	1154
95	1	353	1119	2	481	1087
96	1	417	673	2	480	639
97	1	416	544	2	479	511
98	1	416	289	2	480	258
99	1	416	159	2	479	130
100	1	418	416	2	479	385
101	1	97	1039	2	111	1025
102	1	144	1038	2	177	1023
103	1	110	1235	2	140	1214
104	1	176	1234	2	202	1214
105	1	239	1233	2	271	1214
106	1	178	1039	2	208	1024
107	1	239	1042	2	270	1023
108	1	305	1041	2	335	1023
109	1	107	273	2	143	255
110	1	114	1041	2	142	1024
# DESTROYABLE_BRICK 
# object_id 	type	l	t	ani_set_id	r	b	type_brick: 1: normal	2,3: destructible  
111	1	320	113	5	335	94	2	
112	1	335	113	5	350	94	2
113	1	256	240	5	271	220	2
114	1	271	240	5	286	220	2
115	1	319	368	5	335	346	2
116	1	335	368	5	350	346	2
117	1	256	497	5	272	477	2
118	1	272	497	5	287	477	2
119	1	256	1072	5	272	1052	2
120	1	272	1072	5	287	1052	2
# --- SCENE PORTAL ----
# object_id 	type	l	t	ani_set_id	r	b	scene_id	type_portal: 1-Next scene 0-Previous scene	next_portal_id
1000	50	47.3333	119.33	2	58.6666	97.9967	1	0	1000
1001	50	451.17	1155.7	2	471.12	1120.4	3	1	1000
#1002	50	451.17	120	2	471.12	98	4	1	1000
# cellx celly id_object...
[GRID]
9	0	53	54	1000	52	13	14	15
10	0	57
10	2
10	3	93
9	3	1002
9	2	58	99	55	111	112
10	1	57
8	0	59	60	61	62	109	20
8	1	65	66	113	114
8	2	59	98
8	3	93
7	0	68	52
7	1	71	115	116
7	2	100
7	3
6	0	69	70	52
6	1	72	73	117	118
6	2	74	97	21
6	3	93	97
5	0	74
5	1
5	2	96	22
5	3
4	0	75	76	52
4	1	78
4	2	23
4	3	93
3	0	77	52
3	1
3	2	77
3	3
2	0	80	101	102	110
2	1	83	84	106	107	108
2	2	85	79	80
2	3	93
1	0	82	86	52
1	1	87	88	119	120
1	2	1001	95	82
1	3
0	0	89	90	103
0	1	91	92	104	105
0	2	94	93
0	3	93
